 X0 | X1 | X2 | Z | W0  | W1  | W2  | C0  | C1  | C2  |  S  |  D  | W0  | W1  | W2  |
1  | 0  | 0  | 1 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1 | 0.0 | 0.0 |
1  | 0  | 1  | 1 | 0.1 | 0.0 | 0.0 | 0.1 | 0.0 | 0.0 | 0.1 | 0.1 | 0.2 | 0.0 | 0.1 |
1  | 1  | 0  | 1 | 0.2 | 0.0 | 0.1 | 0.2 | 0.0 | 0.0 | 0.2 | 0.1 | 0.3 | 0.1 | 0.1 |
1  | 1  | 1  | 0 | 0.3 | 0.1 | 0.1 | 0.3 | 0.1 | 0.1 | 0.5 | 0.0 | 0.3 | 0.1 | 0.1 |
1  | 0  | 0  | 1 | 0.3 | 0.1 | 0.1 | 0.3 | 0.0 | 0.0 | 0.3 | 0.1 | 0.4 | 0.1 | 0.1 |
1  | 0  | 1  | 1 | 0.4 | 0.1 | 0.1 | 0.4 | 0.0 | 0.1 | 0.5 | 0.1 | 0.5 | 0.1 | 0.2 |
1  | 1  | 0  | 1 | 0.5 | 0.1 | 0.2 | 0.5 | 0.1 | 0.0 | 0.6 | 0.0 | 0.5 | 0.1 | 0.2 |
1  | 1  | 1  | 0 | 0.5 | 0.1 | 0.2 | 0.5 | 0.1 | 0.2 | 0.8 | -0.1 | 0.4 | 0.0 | 0.1 |
1  | 0  | 0  | 1 | 0.4 | 0.0 | 0.1 | 0.4 | 0.0 | 0.0 | 0.4 | 0.1 | 0.5 | 0.0 | 0.1 |
1  | 1  | 0  | 1 | 0.5 | 0.0 | 0.1 | 0.5 | 0.0 | 0.0 | 0.5 | 0.1 | 0.6 | 0.1 | 0.1 |
1  | 0  | 1  | 1 | 0.6 | 0.1 | 0.1 | 0.6 | 0.0 | 0.1 | 0.7 | 0.0 | 0.6 | 0.1 | 0.1 |
1  | 1  | 1  | 0 | 0.6 | 0.1 | 0.1 | 0.6 | 0.1 | 0.1 | 0.8 | -0.1 | 0.5 | 0.0 | 0.0 |
1  | 0  | 0  | 1 | 0.5 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.5 | 0.1 | 0.6 | 0.0 | 0.0 |
1  | 0  | 1  | 1 | 0.6 | 0.0 | 0.0 | 0.6 | 0.0 | 0.0 | 0.6 | 0.0 | 0.6 | 0.0 | 0.0 |
1  | 1  | 0  | 1 | 0.6 | 0.0 | 0.0 | 0.6 | 0.0 | 0.0 | 0.6 | 0.0 | 0.6 | 0.0 | 0.0 |
